source,retrieved_at,ranking_scope,ranking_year,edition,ranking,ranking_display,name,country,national_rank,quality_of_education,alumni_employment,quality_of_faculty,research_performance,score
cwur,2026-07-19T13:10:56+00:00,overall,2020,2020-21,1,1,Harvard University,USA,1,3,1,1,1,100.0
cwur,2026-07-19T13:10:56+00:00,overall,2020,2020-21,2,2,Massachusetts Institute of Technology,USA,2,4,11,2,7,96.7
cwur,2026-07-19T13:10:56+00:00,overall,2020,2020-21,3,3,Stanford University,USA,3,10,4,3,2,95.2
cwur,2026-07-19T13:10:56+00:00,overall,2020,2020-21,4,4,University of Cambridge,United Kingdom,1,1,21,4,11,94.1
cwur,2026-07-19T13:10:56+00:00,overall,2020,2020-21,5,5,University of Oxford,United Kingdom,2,7,26,9,4,93.3
cwur,2026-07-19T13:10:56+00:00,overall,2020,2020-21,6,6,Columbia University,USA,4,11,14,10,15,92.6
cwur,2026-07-19T13:10:56+00:00,overall,2020,2020-21,7,7,Princeton University,USA,5,6,15,7,71,92.0
cwur,2026-07-19T13:10:56+00:00,overall,2020,2020-21,8,8,University of Pennsylvania,USA,6,14,9,43,12,91.6
cwur,2026-07-19T13:10:56+00:00,overall,2020,2020-21,9,9,University of Chicago,USA,7,8,18,29,22,91.1
cwur,2026-07-19T13:10:56+00:00,overall,2020,2020-21,10,10,Yale University,USA,8,5,35,11,20,90.7
cwur,2026-07-19T13:10:56+00:00,overall,2020,2020-21,11,11,California Institute of Technology,USA,9,2,128,5,74,90.4
cwur,2026-07-19T13:10:56+00:00,overall,2020,2020-21,12,12,"University of California, Berkeley",USA,10,9,57,8,14,90.1
cwur,2026-07-19T13:10:56+00:00,overall,2020,2020-21,13,13,Cornell University,USA,11,13,28,17,24,89.8
cwur,2026-07-19T13:10:56+00:00,overall,2020,2020-21,14,14,University of Tokyo,Japan,1,37,7,105,27,89.5
cwur,2026-07-19T13:10:56+00:00,overall,2020,2020-21,15,15,Johns Hopkins University,USA,12,20,188,22,6,89.3
cwur,2026-07-19T13:10:56+00:00,overall,2020,2020-21,16,16,"University of Michigan, Ann Arbor",USA,13,32,37,82,5,89.0
cwur,2026-07-19T13:10:56+00:00,overall,2020,2020-21,17,17,Northwestern University,USA,14,139,17,46,29,88.8
cwur,2026-07-19T13:10:56+00:00,overall,2020,2020-21,18,18,"University of California, Los Angeles",USA,15,49,63,19,10,88.6
cwur,2026-07-19T13:10:56+00:00,overall,2020,2020-21,19,19,University College London,United Kingdom,3,33,666,14,8,88.4
cwur,2026-07-19T13:10:56+00:00,overall,2020,2020-21,20,20,Duke University,USA,16,61,51,16,21,88.2
cwur,2026-07-19T13:10:56+00:00,overall,2020,2020-21,21,21,PSL University,France,1,16,27,100,121,88.0
cwur,2026-07-19T13:10:56+00:00,overall,2020,2020-21,22,22,University of Illinois at Urbana–Champaign,USA,17,23,133,12,61,87.8
cwur,2026-07-19T13:10:56+00:00,overall,2020,2020-21,23,23,University of Washington - Seattle,USA,18,60,216,23,9,87.7
cwur,2026-07-19T13:10:56+00:00,overall,2020,2020-21,24,24,University of Toronto,Canada,1,225,159,21,3,87.5
cwur,2026-07-19T13:10:56+00:00,overall,2020,2020-21,25,25,New York University,USA,19,43,42,40,45,87.3
cwur,2026-07-19T13:10:56+00:00,overall,2020,2020-21,26,26,University of Wisconsin–Madison,USA,20,34,93,34,31,87.2
cwur,2026-07-19T13:10:56+00:00,overall,2020,2020-21,27,27,McGill University,Canada,2,25,100,36,43,87.1
cwur,2026-07-19T13:10:56+00:00,overall,2020,2020-21,28,28,Kyoto University,Japan,2,47,34,60,65,86.9
