source,retrieved_at,ranking_scope,ranking_year,edition,ranking,ranking_display,name,country,national_rank,quality_of_education_rank,alumni_employment_rank,quality_of_faculty_rank,research_performance_rank,score
cwur,2026-07-19T13:10:58+00:00,overall,2021,2021,1,1,Harvard University,USA,1,1,1,1,1,100.0
cwur,2026-07-19T13:10:58+00:00,overall,2021,2021,2,2,Massachusetts Institute of Technology,USA,2,4,12,2,8,96.7
cwur,2026-07-19T13:10:58+00:00,overall,2021,2021,3,3,Stanford University,USA,3,10,4,3,2,95.1
cwur,2026-07-19T13:10:58+00:00,overall,2021,2021,4,4,University of Cambridge,United Kingdom,1,3,25,4,10,94.1
cwur,2026-07-19T13:10:58+00:00,overall,2021,2021,5,5,University of Oxford,United Kingdom,2,7,27,9,4,93.3
cwur,2026-07-19T13:10:58+00:00,overall,2021,2021,6,6,Princeton University,USA,4,5,15,7,70,92.6
cwur,2026-07-19T13:10:58+00:00,overall,2021,2021,7,7,Columbia University,USA,5,11,14,10,15,92.0
cwur,2026-07-19T13:10:58+00:00,overall,2021,2021,8,8,University of Chicago,USA,6,8,16,27,22,91.5
cwur,2026-07-19T13:10:58+00:00,overall,2021,2021,9,9,University of Pennsylvania,USA,7,14,10,42,12,91.1
cwur,2026-07-19T13:10:58+00:00,overall,2021,2021,10,10,Yale University,USA,8,6,36,13,20,90.7
cwur,2026-07-19T13:10:58+00:00,overall,2021,2021,11,11,California Institute of Technology,USA,9,2,111,8,75,90.4
cwur,2026-07-19T13:10:58+00:00,overall,2021,2021,12,12,"University of California, Berkeley",USA,10,9,60,5,13,90.1
cwur,2026-07-19T13:10:58+00:00,overall,2021,2021,13,13,University of Tokyo,Japan,1,39,6,107,27,89.8
cwur,2026-07-19T13:10:58+00:00,overall,2021,2021,14,14,Cornell University,USA,11,15,28,18,24,89.5
cwur,2026-07-19T13:10:58+00:00,overall,2021,2021,15,15,"University of Michigan, Ann Arbor",USA,12,29,38,79,5,89.2
cwur,2026-07-19T13:10:58+00:00,overall,2021,2021,16,16,Johns Hopkins University,USA,13,23,206,22,6,89.0
cwur,2026-07-19T13:10:58+00:00,overall,2021,2021,17,17,Northwestern University,USA,14,137,18,46,30,88.8
cwur,2026-07-19T13:10:58+00:00,overall,2021,2021,18,18,"University of California, Los Angeles",USA,15,44,63,16,14,88.6
cwur,2026-07-19T13:10:58+00:00,overall,2021,2021,19,19,University College London,United Kingdom,3,36,668,15,7,88.4
cwur,2026-07-19T13:10:58+00:00,overall,2021,2021,20,20,Duke University,USA,16,64,50,17,23,88.2
cwur,2026-07-19T13:10:58+00:00,overall,2021,2021,21,21,PSL University,France,1,18,30,104,126,88.0
cwur,2026-07-19T13:10:58+00:00,overall,2021,2021,22,22,University of Illinois at Urbana–Champaign,USA,17,24,132,11,62,87.8
cwur,2026-07-19T13:10:58+00:00,overall,2021,2021,23,23,University of Washington - Seattle,USA,18,67,199,23,9,87.6
cwur,2026-07-19T13:10:58+00:00,overall,2021,2021,24,24,University of Toronto,Canada,1,230,158,21,3,87.5
cwur,2026-07-19T13:10:58+00:00,overall,2021,2021,25,25,University of Wisconsin–Madison,USA,19,33,97,29,32,87.3
cwur,2026-07-19T13:10:58+00:00,overall,2021,2021,26,26,New York University,USA,20,47,45,38,48,87.2
cwur,2026-07-19T13:10:58+00:00,overall,2021,2021,27,27,McGill University,Canada,2,25,101,40,44,87.0
cwur,2026-07-19T13:10:58+00:00,overall,2021,2021,28,28,Kyoto University,Japan,2,42,32,63,64,86.9
cwur,2026-07-19T13:10:58+00:00,overall,2021,2021,29,29,ETH Zurich,Switzerland,1,58,96,20,39,86.8
cwur,2026-07-19T13:10:58+00:00,overall,2021,2021,30,30,Imperial College London,United Kingdom,4,69,109,52,17,86.6
cwur,2026-07-19T13:10:58+00:00,overall,2021,2021,31,31,Seoul National University,South Korea,1,315,21,135,58,86.5
cwur,2026-07-19T13:10:58+00:00,overall,2021,2021,32,32,Paris-Saclay University,France,2,173,138,43,11,86.4
cwur,2026-07-19T13:10:58+00:00,overall,2021,2021,33,33,University of Texas at Austin,USA,21,94,62,14,56,86.3
cwur,2026-07-19T13:10:58+00:00,overall,2021,2021,34,34,"University of California, San Diego",USA,22,120,-,12,19,86.1
cwur,2026-07-19T13:10:58+00:00,overall,2021,2021,35,35,Karolinska Institute,Sweden,1,37,-,34,60,86.0
cwur,2026-07-19T13:10:58+00:00,overall,2021,2021,36,36,Sorbonne University,France,3,85,292,92,16,85.9
cwur,2026-07-19T13:10:58+00:00,overall,2021,2021,37,37,University of Copenhagen,Denmark,1,90,376,44,26,85.8
cwur,2026-07-19T13:10:58+00:00,overall,2021,2021,38,38,"University of California, San Francisco",USA,23,-,-,19,25,85.7
cwur,2026-07-19T13:10:58+00:00,overall,2021,2021,39,39,University of North Carolina at Chapel Hill,USA,24,80,102,76,35,85.6
cwur,2026-07-19T13:10:58+00:00,overall,2021,2021,40,40,Dartmouth College,USA,25,53,17,95,273,85.5
cwur,2026-07-19T13:10:58+00:00,overall,2021,2021,41,41,Institut Polytechnique de Paris,France,4,100,8,219,316,85.4
cwur,2026-07-19T13:10:58+00:00,overall,2021,2021,42,42,University of Paris,France,5,233,932,56,18,85.3
cwur,2026-07-19T13:10:58+00:00,overall,2021,2021,43,43,King's College London,United Kingdom,5,57,420,31,55,85.2
cwur,2026-07-19T13:10:58+00:00,overall,2021,2021,44,44,Ludwig Maximilian University of Munich,Germany,1,60,255,53,51,85.1
cwur,2026-07-19T13:10:58+00:00,overall,2021,2021,45,45,University of Edinburgh,United Kingdom,6,55,421,60,50,85.0
cwur,2026-07-19T13:10:58+00:00,overall,2021,2021,46,46,University of Minnesota - Twin Cities,USA,26,74,313,119,28,85.0
cwur,2026-07-19T13:10:58+00:00,overall,2021,2021,47,47,Washington University in St. Louis,USA,27,128,190,36,47,84.9
cwur,2026-07-19T13:10:58+00:00,overall,2021,2021,48,48,University of British Columbia,Canada,3,103,616,84,31,84.8
cwur,2026-07-19T13:10:58+00:00,overall,2021,2021,49,49,Rockefeller University,USA,28,13,-,6,416,84.7
cwur,2026-07-19T13:10:58+00:00,overall,2021,2021,50,50,Rutgers University–New Brunswick,USA,29,189,115,24,87,84.6
cwur,2026-07-19T13:10:58+00:00,overall,2021,2021,51,51,University of Southern California,USA,30,314,131,26,71,84.5
cwur,2026-07-19T13:10:58+00:00,overall,2021,2021,52,52,"University of California, Davis",USA,31,97,567,65,46,84.5
cwur,2026-07-19T13:10:58+00:00,overall,2021,2021,53,53,Vanderbilt University,USA,32,374,85,61,67,84.4
cwur,2026-07-19T13:10:58+00:00,overall,2021,2021,54,54,Pennsylvania State University,USA,33,293,154,58,53,84.3
cwur,2026-07-19T13:10:58+00:00,overall,2021,2021,55,55,Free University of Berlin,Germany,2,79,1155,35,77,84.2
cwur,2026-07-19T13:10:58+00:00,overall,2021,2021,56,56,Ohio State University,USA,34,124,254,137,37,84.2
cwur,2026-07-19T13:10:58+00:00,overall,2021,2021,57,57,University of Manchester,United Kingdom,7,106,356,77,52,84.1
cwur,2026-07-19T13:10:58+00:00,overall,2021,2021,58,58,Tsinghua University,China,1,514,76,-,29,84.0
cwur,2026-07-19T13:10:58+00:00,overall,2021,2021,59,59,Peking University,China,2,363,72,-,33,84.0
cwur,2026-07-19T13:10:58+00:00,overall,2021,2021,60,60,Humboldt University of Berlin,Germany,3,82,-,49,72,83.9
