source,retrieved_at,ranking_scope,ranking_year,edition,ranking,ranking_display,name,country,national_rank,education_rank,employability_rank,faculty_rank,research_rank,score
cwur,2026-07-19T13:11:00+00:00,overall,2022,2022-23,1,1,Harvard University,USA,1,1,1,1,1,100.0
cwur,2026-07-19T13:11:00+00:00,overall,2022,2022-23,2,2,Massachusetts Institute of Technology,USA,2,4,12,2,7,96.7
cwur,2026-07-19T13:11:00+00:00,overall,2022,2022-23,3,3,Stanford University,USA,3,11,4,3,2,95.1
cwur,2026-07-19T13:11:00+00:00,overall,2022,2022-23,4,4,University of Cambridge,United Kingdom,1,3,25,4,10,94.1
cwur,2026-07-19T13:11:00+00:00,overall,2022,2022-23,5,5,University of Oxford,United Kingdom,2,7,27,9,4,93.3
cwur,2026-07-19T13:11:00+00:00,overall,2022,2022-23,6,6,Princeton University,USA,4,5,15,6,79,92.6
cwur,2026-07-19T13:11:00+00:00,overall,2022,2022-23,7,7,University of Chicago,USA,5,8,16,21,22,92.0
cwur,2026-07-19T13:11:00+00:00,overall,2022,2022-23,8,8,Columbia University,USA,6,12,14,10,14,91.5
cwur,2026-07-19T13:11:00+00:00,overall,2022,2022-23,9,9,University of Pennsylvania,USA,7,14,8,41,11,91.1
cwur,2026-07-19T13:11:00+00:00,overall,2022,2022-23,10,10,California Institute of Technology,USA,8,2,104,7,80,90.7
cwur,2026-07-19T13:11:00+00:00,overall,2022,2022-23,11,11,Yale University,USA,9,6,36,12,20,90.4
cwur,2026-07-19T13:11:00+00:00,overall,2022,2022-23,12,12,"University of California, Berkeley",USA,10,9,59,5,16,90.1
cwur,2026-07-19T13:11:00+00:00,overall,2022,2022-23,13,13,University of Tokyo,Japan,1,37,6,112,29,89.8
cwur,2026-07-19T13:11:00+00:00,overall,2022,2022-23,14,14,Cornell University,USA,11,16,28,18,24,89.5
cwur,2026-07-19T13:11:00+00:00,overall,2022,2022-23,15,15,"University of Michigan, Ann Arbor",USA,12,29,40,59,6,89.2
cwur,2026-07-19T13:11:00+00:00,overall,2022,2022-23,16,16,Johns Hopkins University,USA,13,24,192,23,8,89.0
cwur,2026-07-19T13:11:00+00:00,overall,2022,2022-23,17,17,Northwestern University,USA,14,138,17,47,31,88.8
cwur,2026-07-19T13:11:00+00:00,overall,2022,2022-23,18,18,"University of California, Los Angeles",USA,15,42,63,17,15,88.6
cwur,2026-07-19T13:11:00+00:00,overall,2022,2022-23,19,19,PSL University,France,1,17,30,107,86,88.4
cwur,2026-07-19T13:11:00+00:00,overall,2022,2022-23,20,20,Duke University,USA,16,50,48,19,25,88.2
cwur,2026-07-19T13:11:00+00:00,overall,2022,2022-23,21,21,University College London,United Kingdom,3,33,660,15,5,88.0
cwur,2026-07-19T13:11:00+00:00,overall,2022,2022-23,22,22,University of Illinois at Urbana–Champaign,USA,17,18,139,11,73,87.8
cwur,2026-07-19T13:11:00+00:00,overall,2022,2022-23,23,23,New York University,USA,18,36,43,43,46,87.6
cwur,2026-07-19T13:11:00+00:00,overall,2022,2022-23,24,24,University of Toronto,Canada,1,207,159,22,3,87.5
cwur,2026-07-19T13:11:00+00:00,overall,2022,2022-23,25,25,University of Washington,USA,19,71,231,25,9,87.3
cwur,2026-07-19T13:11:00+00:00,overall,2022,2022-23,26,26,Kyoto University,Japan,2,38,33,64,75,87.2
cwur,2026-07-19T13:11:00+00:00,overall,2022,2022-23,27,27,University of Wisconsin–Madison,USA,20,34,100,30,35,87.0
cwur,2026-07-19T13:11:00+00:00,overall,2022,2022-23,28,28,McGill University,Canada,2,25,103,44,45,86.9
cwur,2026-07-19T13:11:00+00:00,overall,2022,2022-23,29,29,ETH Zurich,Switzerland,1,60,89,24,42,86.8
cwur,2026-07-19T13:11:00+00:00,overall,2022,2022-23,30,30,Imperial College London,United Kingdom,4,69,117,53,17,86.6
cwur,2026-07-19T13:11:00+00:00,overall,2022,2022-23,31,31,Seoul National University,South Korea,1,336,22,150,57,86.5
cwur,2026-07-19T13:11:00+00:00,overall,2022,2022-23,32,32,Paris-Saclay University,France,2,172,136,45,13,86.4
cwur,2026-07-19T13:11:00+00:00,overall,2022,2022-23,33,33,University of Texas at Austin,USA,21,86,64,16,58,86.3
cwur,2026-07-19T13:11:00+00:00,overall,2022,2022-23,34,34,"University of California, San Diego",USA,22,118,1620,13,19,86.1
cwur,2026-07-19T13:11:00+00:00,overall,2022,2022-23,35,35,"University of California, San Francisco",USA,23,-,1498,14,26,86.0
cwur,2026-07-19T13:11:00+00:00,overall,2022,2022-23,36,36,University of Copenhagen,Denmark,1,93,383,50,27,85.9
cwur,2026-07-19T13:11:00+00:00,overall,2022,2022-23,37,37,Karolinska Institute,Sweden,1,40,-,32,60,85.8
cwur,2026-07-19T13:11:00+00:00,overall,2022,2022-23,38,38,Sorbonne University,France,3,89,309,92,18,85.7
cwur,2026-07-19T13:11:00+00:00,overall,2022,2022-23,39,39,University of North Carolina at Chapel Hill,USA,24,85,96,78,38,85.6
cwur,2026-07-19T13:11:00+00:00,overall,2022,2022-23,40,40,King's College London,United Kingdom,5,58,463,29,54,85.5
cwur,2026-07-19T13:11:00+00:00,overall,2022,2022-23,41,41,Dartmouth College,USA,25,54,18,102,286,85.4
cwur,2026-07-19T13:11:00+00:00,overall,2022,2022-23,42,42,Paris City University,France,4,240,956,58,21,85.3
cwur,2026-07-19T13:11:00+00:00,overall,2022,2022-23,43,43,Institut Polytechnique de Paris,France,5,100,9,226,344,85.2
cwur,2026-07-19T13:11:00+00:00,overall,2022,2022-23,44,44,Ludwig Maximilian University of Munich,Germany,1,59,249,54,52,85.1
cwur,2026-07-19T13:11:00+00:00,overall,2022,2022-23,45,45,University of Edinburgh,United Kingdom,6,55,452,61,49,85.0
cwur,2026-07-19T13:11:00+00:00,overall,2022,2022-23,46,46,Washington University in St. Louis,USA,26,133,166,36,47,85.0
cwur,2026-07-19T13:11:00+00:00,overall,2022,2022-23,47,47,Tsinghua University,China,1,521,60,-,23,84.9
cwur,2026-07-19T13:11:00+00:00,overall,2022,2022-23,48,48,University of Minnesota - Twin Cities,USA,27,75,308,120,30,84.8
cwur,2026-07-19T13:11:00+00:00,overall,2022,2022-23,49,49,University of British Columbia,Canada,3,107,593,85,32,84.7
cwur,2026-07-19T13:11:00+00:00,overall,2022,2022-23,50,50,University of Southern California,USA,28,314,130,28,76,84.6
cwur,2026-07-19T13:11:00+00:00,overall,2022,2022-23,51,51,Peking University,China,2,366,65,-,28,84.5
cwur,2026-07-19T13:11:00+00:00,overall,2022,2022-23,52,52,Vanderbilt University,USA,29,384,86,65,70,84.5
cwur,2026-07-19T13:11:00+00:00,overall,2022,2022-23,53,53,Pennsylvania State University,USA,30,294,161,57,53,84.4
cwur,2026-07-19T13:11:00+00:00,overall,2022,2022-23,54,54,"University of California, Davis",USA,31,105,546,62,51,84.3
cwur,2026-07-19T13:11:00+00:00,overall,2022,2022-23,55,55,Rockefeller University,USA,32,15,-,8,436,84.2
cwur,2026-07-19T13:11:00+00:00,overall,2022,2022-23,56,56,Free University of Berlin,Germany,2,72,1142,37,78,84.2
cwur,2026-07-19T13:11:00+00:00,overall,2022,2022-23,57,57,Rutgers University,USA,33,217,138,27,91,84.1
cwur,2026-07-19T13:11:00+00:00,overall,2022,2022-23,58,58,University of Melbourne,Australia,1,137,400,124,33,84.0
cwur,2026-07-19T13:11:00+00:00,overall,2022,2022-23,59,59,Ohio State University,USA,34,122,269,129,40,84.0
cwur,2026-07-19T13:11:00+00:00,overall,2022,2022-23,60,60,University of Manchester,United Kingdom,7,87,391,80,55,83.9
cwur,2026-07-19T13:11:00+00:00,overall,2022,2022-23,61,61,Humboldt University of Berlin,Germany,3,84,-,49,71,83.8
cwur,2026-07-19T13:11:00+00:00,overall,2022,2022-23,62,62,"Texas A&M University, College Station",USA,35,-,124,70,65,83.8
cwur,2026-07-19T13:11:00+00:00,overall,2022,2022-23,63,63,University of Chinese Academy of Sciences,China,3,-,1253,-,12,83.7
cwur,2026-07-19T13:11:00+00:00,overall,2022,2022-23,64,64,University of Zurich,Switzerland,2,92,588,55,74,83.6
cwur,2026-07-19T13:11:00+00:00,overall,2022,2022-23,65,65,Purdue University,USA,36,91,91,72,110,83.6
cwur,2026-07-19T13:11:00+00:00,overall,2022,2022-23,66,66,Brown University,USA,37,76,56,116,134,83.5
cwur,2026-07-19T13:11:00+00:00,overall,2022,2022-23,67,67,Hebrew University of Jerusalem,Israel,1,30,380,35,194,83.4
cwur,2026-07-19T13:11:00+00:00,overall,2022,2022-23,68,68,Georgia Institute of Technology,USA,38,307,174,26,115,83.4
cwur,2026-07-19T13:11:00+00:00,overall,2022,2022-23,69,69,University of Colorado Boulder,USA,39,154,175,48,93,83.3
cwur,2026-07-19T13:11:00+00:00,overall,2022,2022-23,70,70,Heidelberg University,Germany,4,131,970,82,59,83.3
cwur,2026-07-19T13:11:00+00:00,overall,2022,2022-23,71,71,University of Virginia,USA,40,324,35,176,131,83.2
cwur,2026-07-19T13:11:00+00:00,overall,2022,2022-23,72,72,University of Texas Southwestern Medical Center,USA,41,39,-,39,165,83.1
cwur,2026-07-19T13:11:00+00:00,overall,2022,2022-23,73,73,Utrecht University,Netherlands,1,171,456,159,43,83.1
cwur,2026-07-19T13:11:00+00:00,overall,2022,2022-23,74,74,Weizmann Institute of Science,Israel,2,21,-,46,278,83.0
cwur,2026-07-19T13:11:00+00:00,overall,2022,2022-23,75,75,University of Pittsburgh,USA,42,234,205,262,34,83.0
cwur,2026-07-19T13:11:00+00:00,overall,2022,2022-23,76,76,"University of Maryland, College Park",USA,43,115,444,143,67,82.9
cwur,2026-07-19T13:11:00+00:00,overall,2022,2022-23,77,77,University of Alberta,Canada,4,323,467,67,87,82.9
cwur,2026-07-19T13:11:00+00:00,overall,2022,2022-23,78,78,University of Oslo,Norway,1,103,751,77,94,82.8
cwur,2026-07-19T13:11:00+00:00,overall,2022,2022-23,79,79,Technical University of Munich,Germany,5,79,356,141,84,82.8
cwur,2026-07-19T13:11:00+00:00,overall,2022,2022-23,80,80,Shanghai Jiao Tong University,China,4,-,162,-,36,82.7
cwur,2026-07-19T13:11:00+00:00,overall,2022,2022-23,81,81,"University of California, Irvine",USA,44,385,1255,31,108,82.6
cwur,2026-07-19T13:11:00+00:00,overall,2022,2022-23,82,82,University of Birmingham,United Kingdom,8,49,464,169,106,82.6
cwur,2026-07-19T13:11:00+00:00,overall,2022,2022-23,83,83,University of Amsterdam,Netherlands,2,241,748,197,44,82.5
cwur,2026-07-19T13:11:00+00:00,overall,2022,2022-23,84,84,University of Florida,USA,45,322,449,135,61,82.5
cwur,2026-07-19T13:11:00+00:00,overall,2022,2022-23,85,85,National University of Singapore,Singapore,1,342,172,-,41,82.4
cwur,2026-07-19T13:11:00+00:00,overall,2022,2022-23,86,86,Carnegie Mellon University,USA,46,57,121,38,220,82.4
cwur,2026-07-19T13:11:00+00:00,overall,2022,2022-23,87,87,Leiden University,Netherlands,3,112,1093,74,105,82.3
cwur,2026-07-19T13:11:00+00:00,overall,2022,2022-23,88,88,Uppsala University,Sweden,2,140,443,69,104,82.3
cwur,2026-07-19T13:11:00+00:00,overall,2022,2022-23,89,89,University of Göttingen,Germany,6,43,329,105,155,82.2
cwur,2026-07-19T13:11:00+00:00,overall,2022,2022-23,90,90,"University of California, Santa Barbara",USA,47,213,489,20,149,82.2
cwur,2026-07-19T13:11:00+00:00,overall,2022,2022-23,91,91,University of Rochester,USA,48,64,74,130,172,82.2
cwur,2026-07-19T13:11:00+00:00,overall,2022,2022-23,92,92,Osaka University,Japan,3,141,69,121,135,82.1
cwur,2026-07-19T13:11:00+00:00,overall,2022,2022-23,93,93,University of Arizona,USA,49,490,227,73,107,82.1
cwur,2026-07-19T13:11:00+00:00,overall,2022,2022-23,94,94,University of Bristol,United Kingdom,9,185,386,76,101,82.0
cwur,2026-07-19T13:11:00+00:00,overall,2022,2022-23,95,95,Erasmus University Rotterdam,Netherlands,4,526,72,267,89,82.0
cwur,2026-07-19T13:11:00+00:00,overall,2022,2022-23,96,96,National Taiwan University,Taiwan,1,300,42,-,125,81.9
cwur,2026-07-19T13:11:00+00:00,overall,2022,2022-23,97,97,Zhejiang University,China,5,-,370,-,37,81.9
cwur,2026-07-19T13:11:00+00:00,overall,2022,2022-23,98,98,University of Sydney,Australia,2,195,636,-,39,81.8
cwur,2026-07-19T13:11:00+00:00,overall,2022,2022-23,99,99,Boston University,USA,50,420,118,218,77,81.8
cwur,2026-07-19T13:11:00+00:00,overall,2022,2022-23,100,100,Keio University,Japan,4,505,13,-,392,81.8
cwur,2026-07-19T13:11:00+00:00,overall,2022,2022-23,101,101,École Polytechnique Fédérale de Lausanne,Switzerland,3,-,88,137,119,81.7
cwur,2026-07-19T13:11:00+00:00,overall,2022,2022-23,102,102,Fudan University,China,6,334,101,-,63,81.7
cwur,2026-07-19T13:11:00+00:00,overall,2022,2022-23,103,103,University of São Paulo,Brazil,1,480,364,138,83,81.6
cwur,2026-07-19T13:11:00+00:00,overall,2022,2022-23,104,104,University of Leeds,United Kingdom,10,126,436,51,137,81.6
cwur,2026-07-19T13:11:00+00:00,overall,2022,2022-23,105,105,University of Groningen,Netherlands,5,266,587,136,85,81.5
