source,retrieved_at,ranking_scope,ranking_year,ranking,global_rank,name,country,sector,subject_area_code,data_period_start_year,data_period_end_year
scimago,2026-07-19T14:07:08+00:00,overall,2014,1,2,Harvard University,USA,Universities,0,2008.0,2012.0
scimago,2026-07-19T14:07:08+00:00,overall,2014,2,7,Stanford University,USA,Universities,0,2008.0,2012.0
scimago,2026-07-19T14:07:08+00:00,overall,2014,3,9,Massachusetts Institute of Technology,USA,Universities,0,2008.0,2012.0
scimago,2026-07-19T14:07:08+00:00,overall,2014,4,10,"University of Michigan, Ann Arbor",USA,Universities,0,2008.0,2012.0
scimago,2026-07-19T14:07:08+00:00,overall,2014,5,11,"University of California, Los Angeles",USA,Universities,0,2008.0,2012.0
scimago,2026-07-19T14:07:08+00:00,overall,2014,6,12,Johns Hopkins University,USA,Universities,0,2008.0,2012.0
scimago,2026-07-19T14:07:08+00:00,overall,2014,7,15,University of Toronto,CAN,Universities,0,2008.0,2012.0
scimago,2026-07-19T14:07:08+00:00,overall,2014,8,16,University of Washington,USA,Universities,0,2008.0,2012.0
scimago,2026-07-19T14:07:08+00:00,overall,2014,9,17,"University of California, San Diego",USA,Universities,0,2008.0,2012.0
scimago,2026-07-19T14:07:08+00:00,overall,2014,10,18,University of Oxford,GBR,Universities,0,2008.0,2012.0
scimago,2026-07-19T14:07:08+00:00,overall,2014,11,19,University of Tokyo,JPN,Universities,0,2008.0,2012.0
scimago,2026-07-19T14:07:08+00:00,overall,2014,12,20,University of Pennsylvania,USA,Universities,0,2008.0,2012.0
scimago,2026-07-19T14:07:08+00:00,overall,2014,13,22,"University of California, San Francisco",USA,Universities,0,2008.0,2012.0
scimago,2026-07-19T14:07:08+00:00,overall,2014,14,23,University of Cambridge,GBR,Universities,0,2008.0,2012.0
scimago,2026-07-19T14:07:08+00:00,overall,2014,15,24,"University of California, Berkeley",USA,Universities,0,2008.0,2012.0
scimago,2026-07-19T14:07:08+00:00,overall,2014,16,25,Imperial College London,GBR,Universities,0,2008.0,2012.0
scimago,2026-07-19T14:07:08+00:00,overall,2014,17,26,University College London,GBR,Universities,0,2008.0,2012.0
scimago,2026-07-19T14:07:08+00:00,overall,2014,18,30,Columbia University,USA,Universities,0,2008.0,2012.0
scimago,2026-07-19T14:07:08+00:00,overall,2014,19,31,"University of Wisconsin, Madison",USA,Universities,0,2008.0,2012.0
scimago,2026-07-19T14:07:08+00:00,overall,2014,20,32,Duke University,USA,Universities,0,2008.0,2012.0
scimago,2026-07-19T14:07:08+00:00,overall,2014,21,33,Cornell University,USA,Universities,0,2008.0,2012.0
